,headlines,raw_links
840,Zolgensma delay is bad for Novartis but good for Biogen: analyst, https://www.fiercepharma.com/pharma/another-zolgensma-delay-bad-for-novartis-sma-but-good-for-biogen-s-spinraza-analyst
841,Daiichi inks $200M licensing deal with gene therapy manufacturer, https://www.fiercepharma.com/manufacturing/daiichi-sankyo-inks-200m-licensing-deal-ultragenyx-to-boost-gene-therapy
842,FDA lets Novartis off the hook in Zolgensma data manipulation, https://www.fiercepharma.com/pharma/fda-lets-novartis-off-hook-zolgensma-data-manipulation
843,Coronavirus disrupts Bluebird's Zynteglo plans, https://www.fiercepharma.com/marketing/coronavirus-delays-bluebird-bio-gene-therapy-zynteglo-s-eu-launch-u-s-filing
844,Univercells' CDMO Exothera targets COVID-19 vaccine partners, https://www.fiercepharma.com/manufacturing/univercells-launches-cell-and-gene-therapy-cdmo-exothera
845,New CEO takes over as Fujifilm Diosynth Biotechnologies expands , https://www.fiercepharma.com/manufacturing/new-ceo-takes-over-as-fujifilm-diosynth-biotechnologies-expands
846,"Coronavirus, AZ, vadadustat and more—FiercePharmaAsia", https://www.fiercepharma.com/pharma-asia/fiercepharmaasia-coronavirus-s-impact-astrazeneca-global-drug-supply-vadadustat-prv
847,Bluebird aims to dose first Zynteglo patients in H1, https://www.fiercepharma.com/pharma/now-cleared-for-launch-bluebird-aims-to-dose-first-zynteglo-patients-first-half
848,Audentes investing $109M in gene therapy manufacturing facility, https://www.fiercepharma.com/manufacturing/audentes-investing-109m-gene-therapy-manufacturing-facility-200-jobs
849,Here are 2020's 11 blockbuster drug launches, https://www.fiercepharma.com/marketing/from-novartis-and-bristol-s-ms-meds-to-new-adcs-here-are-2020-s-blockbuster-drug-launches
850,Catalent laying out $315M to snatch another gene therapy CDMO, https://www.fiercepharma.com/manufacturing/catalent-laying-out-315m-to-snatch-another-gene-therapy-cdmo
851,AGC Biologics expands plasmid DNA capacity, https://www.fiercepharma.com/manufacturing/agc-biologics-expands-plasmid-dna-capacity-as-biotechs-develop-gene-therapies
852,"Behind Astellas' $3B Audentes buyout, whispers and a bidding war", https://www.fiercepharma.com/pharma/behind-astellas-3b-buyout-audentes-furtive-whispers-and-a-bidding-war
